bik;name;coraccount;isactive;isbank;address
046027276;ФИЛИАЛ 'РОСТОВ-НА-ДОНУ' КБ 'ЛОКО-БАНК' (ЗАО);30101810000000000276;1;1;РОСТОВ-НА-ДОНУ, УЛ.МАКСИМА ГОРЬКОГО,123/67
046027292;ЮЖНЫЙ ФИЛИАЛ ЗАО КБ 'РУБЛЕВ';30101810000000000292;1;1;РОСТОВ-НА-ДОНУ, УЛ.ПУШКИНСКАЯ,25/67
044525311;ОАО 'ОТП БАНК';30101810000000000311;1;1;МОСКВА, ЛЕНИНГРАДСКОЕ Ш.,16А СТР.1
044579330;ООО КБ 'ПРОФИТ БАНК';30101810000000000330;1;1;МОСКВА, 1-Й ЩИПКОВСКИЙ ПЕР,3,ПОДЪЕЗД 4
044583337;КУ КБ 'РУБЛЕВСКИЙ' ООО - ГК 'АСВ';30101810000000000337;1;1;МОСКВА, ВЕРХНИЙ ТАГАНСКИЙ ТУПИК,4
044525340;ООО 'ГОЛДМАН САКС БАНК';30101810000000000340;1;1;МОСКВА, УЛ.ГАШЕКА,6
044583340;МОСКОВСКИЙ ФИЛИАЛ ОАО КБ'РЕГИОНАЛЬНЫЙ КРЕДИТ';30101810000000000340;1;1;МОСКВА, УЛ.Б.МОЛЧАНОВКА,23 СТР.2
044525353;КУ 'МАСТЕР-БАНК' (ОАО) ГК 'АСВ';30101810000000000353;1;1;МОСКВА, ВЕРХНИЙ ТАГАНСКИЙ ТУПИК,4
044579369;ФИЛИАЛ 'МОСКОВСКИЙ' ООО КБ 'ГРИС-БАНК';30101810000000000369;1;1;МОСКВА, ЛОМОНОСОВСКИЙ ПР.,14
040407388;ВОСТОЧНО-СИБИРСКИЙ ФИЛИАЛ ОАО АКБ 'РОСБАНК';30101810000000000388;1;1;КРАСНОЯРСК, ПР.МИРА,7'А'
044583421;КБ 'МСБ' (ООО);30101810000000000421;1;1;МОСКВА, УЛ.ТОЛСТОГО ЛЬВА,2/22,СТР.6
044525502;БАНК 'МБА-МОСКВА' ООО;30101810000000000502;1;1;МОСКВА, УЛ.ТВЕРСКАЯ,6 СТР.2
044579505;АКБ 'СТРАТЕГИЯ' (ОАО);30101810000000000505;1;1;МОСКВА, Б.САВВИНСКИЙ ПЕР.,12 СТР.11
044585506;ФИЛИАЛ ОАО 'ИНТЕХБАНК' В Г.МОСКВЕ;30101810000000000506;1;1;МОСКВА, ГОСТИНИЧНЫЙ ПР-Д,8 К.1
044585519;КУ ООО ТРЕВЕЛ БАНК - ГК 'АСВ';30101810000000000519;1;1;МОСКВА, ВЕРХНИЙ ТАГАНСКИЙ ТУПИК,4
040349524;ФКБ 'ПЕТРОКОММЕРЦ' В Г.КРАСНОДАРЕ;30101810000000000524;1;1;КРАСНОДАР, УЛ.ЗАХАРОВА,11
044583531;ФИЛИАЛ ОАО 'АКИБАНК' В Г.МОСКВА;30101810000000000531;1;1;МОСКВА, 1-ЫЙ КОПТЕЛЬСКИЙ ПЕР.,18 СТР.1
044583544;АКБ 'ИРС' (ЗАО);30101810000000000544;1;1;МОСКВА, УЛ.ТИМИРЯЗЕВСКАЯ,26
044585551;КБ 'ПРИСКО КАПИТАЛ БАНК',ЗАО;30101810000000000551;1;1;МОСКВА, Б.ПРЕДТЕЧЕНСКИЙ ПЕР.,22
044525557;КБ 'ТРАСТ КАПИТАЛ БАНК' ЗАО;30101810000000000557;1;1;МОСКВА, 1-Й ЩИПКОВСКИЙ ПЕР.,1
041708602;ОТДЕЛЕНИЕ N8611 СБЕРБАНКА РОССИИ;30101810000000000602;1;1;ВЛАДИМИР, ПРОСПЕКТ ЛЕНИНА,36
047308602;ОТДЕЛЕНИЕ N8588 СБЕРБАНКА РОССИИ;30101810000000000602;1;1;УЛЬЯНОВСК, УЛ.ГОНЧАРОВА,40А
042406608;ОТДЕЛЕНИЕ N 8639 СБЕРБАНКА РОССИИ;30101810000000000608;1;1;ИВАНОВО, УЛ.ЛЕЖНЕВСКАЯ,159
047130616;ЗАПАДНО-СИБИРСКИЙ ФИЛИАЛ ОАО 'АК БАРС' БАНК;30101810000000000616;1;1;ТЮМЕНЬ, УЛ.ХАРЬКОВСКАЯ,77
044583625;БАНК 'КУЗНЕЦКИЙ МОСТ' ОАО;30101810000000000625;1;1;МОСКВА, УЛ.МАЛАЯ ПИОНЕРСКАЯ,37 СТР.1
046614632;ОТДЕЛЕНИЕ N8609 СБЕРБАНКА РОССИИ;30101810000000000632;1;1;СМОЛЕНСК, УЛ.ИМ.ПОЛКА'НОРМАНДИЯ НЕМАН'23
044585632;ЛИКВИДАТОР ООО КБСИ 'СТРОЙИНДБАНК' - ГК 'АСВ';30101810000000000632;1;1;МОСКВА, ВЕРХНИЙ ТАГАНСКИЙ ТУПИК,4
045655635;ОТДЕЛЕНИЕ N8624 СБЕРБАНКА РОССИИ;30101810000000000635;1;1;ПЕНЗА, УЛ.СУВОРОВА,ДОМ 81
040407650;КРАСНОЯРСКИЙ ФИЛИАЛ ОАО АКБ 'СВЯЗЬ-БАНК';30101810000000000650;1;1;КРАСНОЯРСК, ПР.МИРА,102
044583670;ФИЛИАЛ ОАО БАНК АВБ В Г.МОСКВЕ;30101810000000000670;1;1;МОСКВА, УЛ.ОСТРЯКОВА,8
044585674;'РУСЬУНИВЕРСАЛБАНК' (ООО);30101810000000000674;1;1;МОСКВА, МАЛЫЙ КАЗЕННЫЙ ПЕР.,14 СТР.1
044525683;ООО КБ 'СТОЛИЧНЫЙ КРЕДИТ';30101810000000000683;1;1;МОСКВА, УЛ.БАУМАНСКАЯ,54 СТР.1
044583683;КУ АКБ 'ЛЕФКО-БАНК' (ОАО) - ГК 'АСВ';30101810000000000683;1;1;МОСКВА, ВЕРХНИЙ ТАГАНСКИЙ ТУПИК,4
044579686;КБ 'АРСЕНАЛ' ООО;30101810000000000686;1;1;МОСКВА, УЛ.МЕЩАНСКАЯ,7 СТР.1
044585700;ООО 'БАНК РАУНД';30101810000000000700;1;1;МОСКВА, Ш.РУБЛЕВСКОЕ,28
044030700;ПИТЕРСКИЙ ФИЛИАЛ ТАУРУС БАНКА (ЗАО);30101810000000000700;1;1;САНКТ-ПЕТЕРБУРГ, МОСКОВСКИЙ ПР.,138,П.8Н,5Н,Л.А
049820701;ФМКБ 'МАК-БАНК'(ООО) В Г.ЛЕНСКЕ (РС(Я);30101810000000000701;1;1;ЛЕНСК, УЛ.ПОБЕДЫ,6
040407702;КРАСНОЯРСКИЙ ФИЛИАЛ АКБ'ЛАНТА-БАНК'(ЗАО);30101810000000000702;1;1;КРАСНОЯРСК, УЛ.КОЛОМЕНСКАЯ,12
040813703;ФИЛИАЛ ОАО 'УРАЛСИБ' В Г.ХАБАРОВСК;30101810000000000703;1;1;ХАБАРОВСК, УЛ.ЗАПАРИНА,53
042406705;ОАО КБ 'ИВАНОВО';30101810000000000705;1;1;ИВАНОВО, ПР.ЛЕНИНА,31'А'
042748705;ЗАО ИКБ 'ЕВРОПЕЙСКИЙ';30101810000000000705;1;1;КАЛИНИНГРАД, УЛ.КУТУЗОВА,39
043209706;'БСТ-БАНК' ЗАО;30101810000000000706;1;1;НОВОКУЗНЕЦК, УЛ.КУТУЗОВА,31
043602707;ФИЛИАЛ 'САМАРСКИЙ' ОАО 'ОТП БАНК';30101810000000000707;1;1;САМАРА, УЛ.АВРОРЫ,150
045773707;КОНКУРСНЫЙ УПР. ОАО АКБ 'ЭКОПРОМБАНК'-ГК'АСВ';30101810000000000707;1;1;ПЕРМЬ, УЛ.ЕКАТЕРИНИНСКАЯ,120
049205708;ООО 'ТАТАГРОПРОМБАНК';30101810000000000708;1;1;КАЗАНЬ, УЛ.ЗИНИНА,4
044579754;ФИЛИАЛ 'МОСКВА' ОАО 'ЭНЕРГОМАШБАНК';30101810000000000754;1;1;МОСКВА, ОРЛИКОВ ПЕР.,5,СТР.2,ПОМ.1
044705708;Ф. N 1 АКБ 'СЕВЕРО-ЗАПАДНЫЙ 1 АЛЬЯНС БАНК'ОАО;30101810000000000708;1;1;МУРМАНСК, УЛ.СОФЬИ ПЕРОВСКОЙ,17
044579709;ООО КБ 'РЭБ';30101810000000000709;1;1;МОСКВА, УЛ.ПРИШВИНА,8-2
042502710;ЗАО 'ГРИНКОМБАНК';30101810000000000710;1;1;УСОЛЬЕ-СИБИРСКОЕ, ПР.КОМСОМОЛЬСКИЙ,89
040702710;СТАВРОПОЛЬСКИЙ ФИЛИАЛ ОАО АКБ 'РОСБАНК';30101810000000000710;1;1;СТАВРОПОЛЬ, УЛ.ЛЕНИНА,375
045773710;ПЕРМСКИЙ ФИЛИАЛ ОАО 'МЕТКОМБАНК';30101810000000000710;1;1;ПЕРМЬ, УЛ.ПЕРМСКАЯ,54
040724712;ООО 'РУСБС';30101810000000000712;1;1;ЕССЕНТУКСКАЯ, УЛ.ГАГАРИНА,148
044579712;ФИЛИАЛ 'МОСКОВСКИЙ' ООО КБ 'МАЙМА';30101810000000000712;1;1;МОСКВА, УЛ.1-Я ДУБРОВСКАЯ,1А
044030713;СПБ Ф-Л ЗАО МКБ 'МОСКОМПРИВАТБАНК';30101810000000000713;1;1;САНКТ-ПЕТЕРБУРГ, НАБ.ОБВОДНОГО КАН.,90,ЛИТ.'Г'
040349715;БАНК 'ПЕРВОМАЙСКИЙ' (ЗАО);30101810000000000715;1;1;КРАСНОДАР, УЛ.КРАСНАЯ,139
